BBL,Required to report automated water data from DEP? Y/N,Esmnt,Building Class ,Tax Class,Building Count,DOF Gross Square Footage,,,Zip Code,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Address
1000670023,YES, ,O4,4,1,"558,327",,,10038,,56 NASSAU STREET
1000680007,YES, ,O6,4,1,"155,450",,,10038,,83 MAIDEN LANE
1000680011,NO, ,O6,4,1,"155,026",,,10038,,75 MAIDEN LANE
1000680016,NO, ,HS,4,1,"122,959",,,10038,,84 WILLIAM STREET
1000680028,YES, ,HB,4,1,"71,539",,,10038,,15 GOLD STREET
1000680036,YES, ,O4,4,1,"377,120",,,10038,,100 WILLIAM STREET
1000687501,YES, ,R0,2,1,"200,610",,,10038,,80 JOHN STREET
1000687502,NO, ,R0,2,1,"126,430",,,10038,,90 WILLIAM STREET
1000690001,YES, ,H2,4,1,"148,868",,,10038,,215 PEARL STREET
1000690006,YES, ,D8,2,1,"222,001",,,10038,,211 PEARL STREET
1000690018,YES, ,D8,2,1,"627,300",,,10038,,2 GOLD STREET
1000690030,NO, ,H2,4,1,"114,226",,,10038,,4 PLATT STREET
1000690032,NO, ,D7,2,1,"338,463",,,10038,,116 JOHN STREET
1000697502,NO, ,R0,2,1,"372,364",,,10038,,90 JOHN STREET
1000700032,NO, ,D6,2,1,"487,950",,,10038,,180 WATER STREET
1000700043,NO, ,O4,4,1,"481,858",,,10038,,160 WATER STREET
1000707501,YES, ,R0,2,1,"343,902",,,10038,,125 MAIDEN LANE
1000710001,YES, ,D7,2,1,"52,969",,,10038,,156 FRONT STREET
1000717501,YES, ,R0,2,1,"580,000",,,10038,,175 WATER STREET
1000720007,YES, ,H2,4,1,"139,891",,,10038,,151 MAIDEN LANE
1000720012,YES, ,H2,4,1,"70,044",,,10038,,161 FRONT STREET
1000720013,NO, ,E9,4,1,"58,500",,,10038,,163 FRONT STREET
1000720027,NO, ,D2,2,1,"52,005",,,10038,,85 SOUTH STREET
1000720031,YES, ,O2,4,1,"43,818",,,10038,,80 SOUTH STREET
1000727501,YES, ,R0,2,1,"28,662",,,10038,,170 JOHN STREET
1000727502,NO, ,R0,2,1,"191,505",,,10038,,161 MAIDEN LANE
1000730017,NO, ,T2,4,1,"30,081",,,,, PIER 19
1000730002,NO,,T2,4,1,"164,325",,,10038,,PIER-15 SOUTH STREET
1000730010,YES,,K6,4,1,"242,074",,,10038,,95 SOUTH STREET
1000730011,NO,,K2,4,1,"59,020",,,10038,,95 MARGINAL STREET
1000730014,NO,,Y7,4,1,"23,350",,,10038,, SOUTH STREET
1000730029,NO,,Y7,4,1,"23,240",,,10038,, MARGINAL STREET
1000747501,YES, ,R0,2,1,"995,083",,,10038,,199 WATER STREET
1000740001,YES,,K9,4,17,"125,500",,,10038,,89 SOUTH STREET
1000750001,YES, ,D8,2,1,"541,000",,,10038,,127 JOHN STREET
1000750030,NO, ,O4,4,1,"296,076",,,10038,,111 JOHN STREET
1000760001,YES, ,O6,4,1,"40,564",,,10038,,64 FULTON STREET
1000760006,NO, ,D7,2,1,"101,542",,,10038,,56 FULTON STREET
1000760024,NO, ,D6,2,1,"53,445",,,10038,,40 GOLD STREET
1000767501,YES, ,R0,2,1,"158,477",,,10038,,15 CLIFF STREET
1000767502,NO, ,R0,2,1,"472,059",,,10038,,99 JOHN STREET
1000770001,NO, ,D7,2,1,"160,000",,,10038,,85 JOHN STREET
1000770008,NO, ,O4,4,1,"788,241",,,10038,,110 WILLIAM STREET
1000770020,NO, ,W6,4,1,"44,506",,,10038,,138 WILLIAM STREET
1000770024,NO, ,D7,2,1,"159,000",,,10038,,82 FULTON STREET
1000777501,NO, ,R0,2,1,"448,214",,,10038,,130 WILLIAM STREET
1000780001,NO, ,D7,2,1,"76,988",,,10038,,135 WILLIAM STREET
1000780004,YES, ,O4,4,1,"493,039",,,10038,,123 WILLIAM STREET
1000780020,NO, ,H8,4,1,"74,863",,,10038,,106 FULTON STREET
1000787503,NO, ,R0,2,1,"38,610",,,10038,,80 NASSAU STREET
1000787504,NO, ,R0,2,1,"40,856",,,10038,,9 DUTCH STREET
1000787505,YES, ,R0,2,1,"32,107",,,10038,,72 NASSAU STREET
1000787506,NO, ,R0,2,1,"26,923",,,10038,,102 FULTON STREET
1000787507,NO, ,R0,2,1,"97,798",,,10038,,111 WILLIAM STREET
1000787508,YES, ,R0,2,1,"81,199",,,10038,,45 JOHN STREET
1000787510,YES, ,R0,2,1,"25,997",,,10038,,110 FULTON STREET
1000787511,NO, ,R0,2,1,"115,376",,,10038,,55 JOHN STREET
1000790010,YES, ,HS,4,1,"111,423",,,10038,,17 JOHN STREET
1000790014,NO, ,O6,4,1,"33,634",,,10038,,15 JOHN STREET
1000797502,YES, ,R0,2,1,"71,246",,,10038,,130 FULTON STREET
1000797503,YES, ,R0,2,1,"73,121",,,10038,,71 NASSAU STREET
1000800001,YES, ,O4,4,1,"1,094,861",,,10007,,195 BROADWAY
1000800004,YES, ,H1,4,1,"383,166",,,10007,,55 CHURCH STREET
1000847501,YES, ,R0,2,1,"967,206",,,10007,,140 WEST STREET
1000880001,YES, ,O6,4,1,"133,198",,,10007,,217 BROADWAY
1000880002,NO, ,O7,4,1,"30,000",,,10007,,14 VESEY STREET
1000880005,YES, ,O6,4,1,"80,298",,,10007,,20 VESEY STREET
1000880010,YES, ,O6,4,1,"71,959",,,10007,,30 VESEY STREET
1000880014,YES, ,D8,2,1,"531,000",,,10007,,10 BARCLAY STREET
1000880018,NO, ,O4,4,1,"480,831",,,10007,,225 BROADWAY
1000890001,YES, ,O6,4,1,"100,000",,,10038,,99 NASSAU STREET
