BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
4005030005,4,503,5,3, ,D5,2,1,"100,000",31-01,VERNON BLVD.,Queens ,11106,,,31-01 VERNON BLVD.
4005037502,4,503,7502,3, ,R0,2,1,"76,910",45254,31ST AVE.,Queens ,11106,,,45254 31ST AVE.
4005040003,4,504,3,4, ,D1,2,1,"84,113",13820,31ST AVE.,Queens ,11106,,,13820 31ST AVE.
4005047501,4,504,7501,4, ,R0,2,1,"55,575",30-85,VERNON BLVD.,Queens ,11102,,,30-85 VERNON BLVD.
4005060029,4,506,29,6, ,D8,2,1,"84,000",30-15,VERNON BLVD.,Queens ,11102,,,30-15 VERNON BLVD.
4005100020,4,510,20,0, ,D1,2,1,"167,310",810,12 AVENUE,Queens ,11102,,,810 12 AVENUE
4005197501,4,519,7501,9, ,R0,2,2,"181,599",45275,BROADWAY,Queens ,11106,,,45275 BROADWAY
4005220001,4,522,1,2, ,E9,4,1,"63,850",45261,34TH AVE.,Queens ,11106,,,45261 34TH AVE.
4005230002,4,523,2,3, ,D1,2,9,"372,060",34-05,12TH ST.,Queens ,11106,Y ,,34-05 12TH ST.
4005280050,4,528,50,8, ,D4,2,7,"444,115",33-43,14TH ST.,Queens ,11106,,,33-43 14TH ST.
4005300007,4,530,7,0, ,D9,2,1,"73,688",14-48,BROADWAY,Queens ,11106,,,14-48 BROADWAY
4005310017,4,531,17,1, ,D7,2,1,"102,141",14-19,BROADWAY,Queens ,11106,,,14-19 BROADWAY
4005310059,4,531,59,1, ,D6,2,1,"61,700",14-56,31ST DR.,Queens ,11106,,,14-56 31ST DR.
4005347502,4,534,7502,4, ,R0,2,1,"79,154",14-33,31ST STREET,Queens ,11106,,,14-33 31ST STREET
4005350046,4,535,46,5, ,D1,2,1,"69,100",30-40,21ST ST.,Queens ,11102,,,30-40 21ST ST.
4005350051,4,535,51,5, ,D1,2,1,"59,247",30-50,21ST ST.,Queens ,11102,,,30-50 21ST ST.
4005440019,4,544,19,4, ,D7,2,1,"57,000",23-30,NEWTOWN AVE.,Queens ,11102,,,23-30 NEWTOWN AVE.
4005497502,4,549,7502,9, ,R0,2,1,"58,269",30-11,21ST ST.,Queens ,11102,,,30-11 21ST ST.
4005500010,4,550,10,0, ,D1,2,1,"94,595",21-05,30TH DR.,Queens ,11102,,,21-05 30TH DR.
4005570003,4,557,3,7, ,D4,2,14,"563,800",33-34,CRESCENT ST.,Queens ,11106,,,33-34 CRESCENT ST.
4005590002,4,559,2,9, ,D7,2,8,"363,720",21-51,34 AVENUE,Queens ,11106,Y ,,21-51 34 AVENUE
4005670007,4,567,7,7, ,D9,2,1,"86,950",23-35,BROADWAY,Queens ,11106,,,23-35 BROADWAY
