BBL,ADDRESS,BOROUGH,ZIP CODE,LIST
1007027502,553 WEST 30 STREET,MANHATTAN,10001,RENT+INCOME
1007190020,433 WEST 21 STREET,MANHATTAN,10011,RENT
1007210007,415 WEST 23 STREET ,MANHATTAN,10011,RENT
1007220037,229 9 AVENUE ,MANHATTAN,10001,RENT
1007297502,371 9 AVENUE ,MANHATTAN,10001,RENT
1007310050,408 WEST 34 STREET,MANHATTAN,10001,RENT
1007310060,430 WEST 34 STREET,MANHATTAN,10001,RENT
1007320016,433 WEST 34 STREET,MANHATTAN,10001,RENT
1007380014,337 WEST 14 STREET,MANHATTAN,10014,RENT
1007380015,335 WEST 14 STREET,MANHATTAN,10014,RENT
1007380048,312 WEST 15 STREET,MANHATTAN,10011,RENT
1007387501,85 8 AVENUE,MANHATTAN,10011,RENT
1007420022,319 WEST 18 STREET,MANHATTAN,10011,RENT
1007427501,305 WEST 18 STREET,MANHATTAN,10011,RENT
1007430038,177 8 AVENUE,MANHATTAN,10011,RENT
1007440001,363 WEST 20 STREET,MANHATTAN,10011,RENT
1007440043,209 8 AVENUE,MANHATTAN,10011,RENT
1007457502,360 WEST 22 STREET,MANHATTAN,10011,RENT
1007460038,237 8 AVENUE,MANHATTAN,10011,RENT
1007467503,249 8 AVENUE,MANHATTAN,10011,RENT
1007467506,312 WEST 23 STREET,MANHATTAN,10011,RENT
1007590001,450 9 AVENUE,MANHATTAN,10018,RENT
1007640007,253 WEST 14 STREET ,MANHATTAN,10011,RENT
1007640051,222 WEST 15 STREET,MANHATTAN,10011,RENT
1007640062,244 WEST 15 STREET,MANHATTAN,10011,RENT
1007650001,102 8 AVENUE,MANHATTAN,10011,RENT
1007650047,208 WEST 16 STREET,MANHATTAN,10011,RENT
1007650070,248 WEST 16 STREET ,MANHATTAN,10011,RENT
1007660009,253 WEST 16 STREET,MANHATTAN,10011,RENT
1007660039,100 7 AVENUE,MANHATTAN,10011,RENT
1007687501,210 WEST 19 STREET,MANHATTAN,10011,RENT
1007687502,140 7 AVENUE,MANHATTAN,10011,RENT
1007697503,160 7 AVENUE,MANHATTAN,10011,RENT
1007697505,251 WEST 19 STREET,MANHATTAN,10011,RENT
1007700048,210 WEST 21 STREET,MANHATTAN,10011,RENT
1007710001,216 8 AVENUE,MANHATTAN,10011,RENT
1007720056,208 WEST 23 STREET,MANHATTAN,10011,RENT
1007730012,255 WEST 23 STREET,MANHATTAN,10011,RENT
1007750009,245 WEST 25 STREET,MANHATTAN,10001,RENT
1007900028,103 WEST 14 STREET,MANHATTAN,10011,RENT
1007910036,555 AVENUE OF THE AMERICAS,MANHATTAN,10011,RENT
1007910062,130 WEST 16 STREET,MANHATTAN,10011,RENT
1007910078,91 7 AVENUE,MANHATTAN,10011,RENT
1007920028,111 WEST 16 STREET ,MANHATTAN,10011,RENT
1007927504,101 7 AVENUE,MANHATTAN,10011,RENT
1007940030,615 AVENUE OF THE AMERICAS,MANHATTAN,10011,RENT
1007970076,162 WEST 22 STREET,MANHATTAN,10011,RENT
1007990035,101 WEST 23 STREET ,MANHATTAN,10011,RENT
1008020071,154 WEST 27 STREET,MANHATTAN,10001,RENT
1008027501,144 WEST 27 STREET,MANHATTAN,10001,RENT
1008030065,146 WEST 28 STREET,MANHATTAN,10001,RENT
1008037501,315 7 AVENUE,MANHATTAN,10001,RENT
1008160031,7 WEST 14 STREET ,MANHATTAN,10011,RENT
1008170001,552 AVENUE OF THE AMERICAS,MANHATTAN,10011,RENT
1008170029,6 WEST 16 STREET,MANHATTAN,10011,RENT
1008170085,568 AVENUE OF THE AMERICAS,MANHATTAN,10011,RENT
1008180010,43 WEST 16 STREET,MANHATTAN,10011,RENT
1008190031,11 WEST 17 STREET,MANHATTAN,10011,RENT
1008230017,35 WEST 21 STREET,MANHATTAN,10010,RENT
1008230047,4 WEST 22 STREET,MANHATTAN,10010,RENT
1008320039,284 5 AVENUE ,MANHATTAN,10001,RENT
1008420007,7 EAST 14 STREET,MANHATTAN,10003,RENT
1008427501,69 5 AVENUE,MANHATTAN,10003,RENT
1008440008,9 EAST 16 STREET,MANHATTAN,10003,RENT
1008470024,874 BROADWAY,MANHATTAN,10003,RENT
1008497508,254 PARK AVENUE SOUTH,MANHATTAN,10003,RENT
1008500039,268 PARK AVENUE SOUTH,MANHATTAN,10010,RENT
1008500064,12 EAST 22 STREET,MANHATTAN,10010,RENT
1008570018,66 MADISON AVENUE,MANHATTAN,10016,RENT
1008580008,7 EAST 28 STREET,MANHATTAN,10016,RENT
1008600022,119 MADISON AVENUE,MANHATTAN,10016,RENT
1008600027,33 EAST 30 STREET,MANHATTAN,10016,RENT
1008610027,31 EAST 31 STREET,MANHATTAN,10016,RENT
1008610059,145 MADISON AVENUE,MANHATTAN,10016,RENT
1008620009,9 EAST 32 STREET,MANHATTAN,10016,RENT
1008620011,11 EAST 32 STREET,MANHATTAN,10016,RENT
1008620024,153 MADISON AVENUE,MANHATTAN,10016,RENT
1008630044,66 EAST 34 STREET,MANHATTAN,10016,RENT
1008640028,47 EAST 34 STREET,MANHATTAN,10016,RENT
1008640041,16 PARK AVENUE,MANHATTAN,10016,RENT
1008647501,20 EAST 35 STREET,MANHATTAN,10016,RENT
1008650032,20 PARK AVENUE,MANHATTAN,10016,RENT
1008650040,30 PARK AVENUE,MANHATTAN,10016,RENT
1008650053,213 MADISON AVENUE,MANHATTAN,10016,RENT
1008660013,15 EAST 36 STREET,MANHATTAN,10016,RENT
1008660035,40 PARK AVENUE,MANHATTAN,10016,RENT
1008660064,220 MADISON AVENUE,MANHATTAN,10016,RENT
1008667502,30 EAST 37 STREET,MANHATTAN,10016,RENT
1008670057,242 MADISON AVENUE,MANHATTAN,10016,RENT
1008687501,35 EAST 38 STREET,MANHATTAN,10016,RENT
1008687502,80 PARK AVENUE,MANHATTAN,10016,RENT
1008710007,105 EAST 15 STREET ,MANHATTAN,10003,RENT
1008710039,145 EAST 15 STREET,MANHATTAN,10003,RENT
1008747501,157 EAST 18 STREET,MANHATTAN,10003,RENT
1008750019,81 IRVING PLACE,MANHATTAN,10003,RENT
1008750025,82 IRVING PLACE,MANHATTAN,10003,RENT
1008750047,230 3 AVENUE,MANHATTAN,10003,RENT
1008750055,26 GRAMERCY PARK SOUTH,MANHATTAN,10003,RENT
1008750079,245 PARK AVENUE SOUTH,MANHATTAN,10003,RENT
1008767503,36 GRAMERCY PARK EAST #A,MANHATTAN,10003,RENT
1008770009,60 GRAMERCY PARK NORTH ,MANHATTAN,10010,RENT
1008770060,134 EAST 22 STREET,MANHATTAN,10010,RENT
1008770067,7 LEXINGTON AVENUE,MANHATTAN,10010,RENT
1008770074,4 LEXINGTON AVENUE,MANHATTAN,10010,RENT
1008770084,102 EAST 22 STREET,MANHATTAN,10010,RENT
1008780028,145 EAST 22 STREET,MANHATTAN,10010,RENT
1008790017,131 EAST 23 STREET,MANHATTAN,10010,RENT
1008790033,155 EAST 23 STREET,MANHATTAN,10010,RENT
1008790054,144 EAST 24 STREET,MANHATTAN,10010,RENT
1008790069,126 EAST 24 STREET ,MANHATTAN,10010,RENT
1008790070,124 EAST 24 STREET,MANHATTAN,10010,RENT
1008800042,330 3 AVENUE,MANHATTAN,10010,RENT
1008820028,95 LEXINGTON AVENUE,MANHATTAN,10016,RENT+INCOME
1008820050,160 EAST 27 STREET,MANHATTAN,10016,RENT
1008820056,142 EAST 27 STREET,MANHATTAN,10016,RENT
1008827502,90 LEXINGTON AVENUE,MANHATTAN,10016,RENT
1008827503,88 LEXINGTON AVENUE,MANHATTAN,10016,RENT
1008830044,145 EAST 27 STREET ,MANHATTAN,10016,RENT
1008840027,137 EAST 28 STREET,MANHATTAN,10016,RENT
1008840048,402 3 AVENUE,MANHATTAN,10016,RENT
1008850042,155 EAST 29 STREET,MANHATTAN,10016,RENT
1008870014,121 EAST 31 STREET,MANHATTAN,10016,RENT
1008880055,142 EAST 33 STREET,MANHATTAN,10016,RENT
1008890022,141 EAST 33 STREET,MANHATTAN,10016,RENT
1008890039,166 EAST 34 STREET ,MANHATTAN,10016,RENT
1008890068,120 EAST 34 STREET,MANHATTAN,10016,RENT
1008900001,7 PARK AVENUE,MANHATTAN,10016,RENT
1008900005,15 PARK AVENUE,MANHATTAN,10016,RENT
1008900011,115 EAST 34 STREET,MANHATTAN,10016,RENT
1008900020,132 EAST 35 STREET,MANHATTAN,10016,RENT
1008900049,166 EAST 35 STREET,MANHATTAN,10016,RENT
1008900054,152 EAST 35 STREET,MANHATTAN,10016,RENT
1008907501,155 EAST 34 STREET,MANHATTAN,10016,RENT
1008910023,264 LEXINGTON AVENUE,MANHATTAN,10016,RENT
1008910027,261 LEXINGTON AVENUE,MANHATTAN,10016,RENT
1008910030,145 EAST 35 STREET,MANHATTAN,10016,RENT
1008910077,120 EAST 36 STREET,MANHATTAN,10016,RENT
1008910083,110 EAST 36 STREET,MANHATTAN,10016,RENT
1008920001,41 PARK AVENUE,MANHATTAN,10016,RENT
